lead_id,customer,country,city,sales_rep,technician,product,quote_value,quote_status,lead_created_date,quote_sent_date,quote_accepted_date,invoice_date,payment_date,order_release_date,build_date,ship_date,scheduled_date,install_date,activation_date,lifecycle_stage,issue_type,owner_team,severity,recommended_action,is_exception,value_at_risk,days_delayed,days_lead_to_quote,days_quote_to_payment,days_payment_to_install,days_install_to_active,days_lead_to_active
EVX-1011,Tasman Ridge Properties,NZ,Nelson,Ava Chen,,Wallbox Lite 7kW,2500,ACCEPTED,2025-03-10,2025-03-12,2025-03-13,2025-03-14,,,,,,,,Invoice not paid,invoice-not-paid,Finance,High,Send reminder and verify invoice reached the customer,YES,2500,22,2,0,0,0,0
EVX-1012,Hamilton Greenfleet,NZ,Hamilton,Noah Patel,,Dual Port Fleet 22kW,5200,ACCEPTED,2025-02-08,2025-02-10,2025-02-12,2025-02-13,,,,,,,,Invoice not paid,invoice-not-paid,Finance,Critical,Escalate high-value unpaid invoice to account owner,YES,5200,53,2,0,0,0,0
EVX-1013,Lower Hutt Charging Hub,NZ,Lower Hutt,Liam Gray,,Wallbox Pro 7kW,3150,ACCEPTED,2025-03-14,2025-03-16,2025-03-17,2025-03-18,,,,,,,,Invoice not paid,invoice-not-paid,Finance,Medium,Call customer and confirm payment blocker,YES,3150,18,2,0,0,0,0
EVX-1014,Auckland Harbour Residences,NZ,Auckland,Ava Chen,,Wallbox Pro 11kW,4100,ACCEPTED,2025-02-24,2025-02-27,2025-03-01,2025-03-02,,,,,,,,Invoice not paid,invoice-not-paid,Finance,High,Reissue invoice if procurement workflow needs a purchase order reference,YES,4100,29,3,0,0,0,0
EVX-1015,Wellington Tech Quarter,NZ,Wellington,Noah Patel,Ella Scott,Wallbox Pro 11kW,4300,ACCEPTED,2025-02-01,2025-02-04,2025-02-06,2025-02-07,2025-02-09,2025-02-10,2025-02-14,2025-02-18,2025-02-22,2025-02-25,2025-03-06,Installed not active,installed-not-active,Support / Device Ops,Critical,Check connectivity and complete activation remotely,YES,4300,39,3,3,13,9,34
EVX-1016,Dunedin Campus Energy,NZ,Dunedin,Isla Morgan,Reuben Clark,Wallbox Lite 7kW,2700,ACCEPTED,2025-02-05,2025-02-07,2025-02-10,2025-02-11,2025-02-13,2025-02-14,2025-02-18,2025-02-22,2025-02-28,2025-03-02,2025-03-15,Installed not active,installed-not-active,Support / Device Ops,High,Confirm network credentials and retry commissioning,YES,2700,25,2,3,17,13,38
EVX-1017,Blenheim Orchard Estates,NZ,Blenheim,Liam Gray,Reuben Clark,Wallbox Pro 7kW,2950,ACCEPTED,2025-03-03,2025-03-06,2025-03-08,2025-03-09,2025-03-12,2025-03-13,2025-03-16,2025-03-20,2025-03-24,2025-03-27,2025-04-09,Installed not active,installed-not-active,Support / Device Ops,High,Check if shipped unit firmware needs an update before activation,YES,2950,18,3,4,15,13,37
EVX-1018,Tauranga Coast Living,NZ,Tauranga,Ava Chen,Ella Scott,Wallbox Pro 7kW,3050,ACCEPTED,2025-03-07,2025-03-09,2025-03-11,2025-03-12,2025-03-15,2025-03-16,2025-03-19,2025-03-24,2025-03-28,2025-03-31,2025-04-15,Installed not active,installed-not-active,Support / Device Ops,Medium,Confirm meter pairing and final activation event,YES,3050,12,2,4,16,15,39
EVX-1019,Napier Smart Homes,NZ,Napier,Noah Patel,,Wallbox Pro 7kW,2980,ACCEPTED,2025-02-18,2025-02-20,2025-02-22,2025-02-23,2025-02-25,2025-02-26,2025-03-03,,,,Shipping backlog,shipping-backlog,Logistics,High,Check freight handoff and book priority dispatch,YES,2980,31,2,3,0,0,0
EVX-1020,New Plymouth Civic Energy,NZ,New Plymouth,Isla Morgan,,Wallbox Pro 11kW,3880,ACCEPTED,2025-03-01,2025-03-04,2025-03-06,2025-03-07,2025-03-09,2025-03-10,2025-03-15,,,,Shipping backlog,shipping-backlog,Logistics,Medium,Confirm freight booking and update ETA for the customer,YES,3880,17,3,3,0,0,0
EVX-1021,Waikato Rural Charge,NZ,Hamilton,Liam Gray,,Dual Port Fleet 22kW,6100,ACCEPTED,2025-01-25,2025-01-28,2025-01-30,2025-01-31,2025-02-02,2025-02-03,2025-02-11,,,,Shipping backlog,shipping-backlog,Logistics,Critical,Escalate with carrier because shipment is beyond SLA,YES,6100,50,3,3,0,0,0
EVX-1022,Otago Fleet Services,NZ,Dunedin,Ava Chen,,Dual Port Fleet 22kW,6400,ACCEPTED,2025-02-15,2025-02-17,2025-02-18,2025-02-19,2025-02-22,2025-02-24,,,,,,Build/allocation backlog,build-allocation-backlog,Operations / Manufacturing,Critical,Confirm inventory allocation and pull forward production slot,YES,6400,41,2,4,0,0,0
EVX-1023,Marlborough New Builds,NZ,Blenheim,Noah Patel,,Wallbox Pro 11kW,3650,ACCEPTED,2025-03-05,2025-03-07,2025-03-08,2025-03-09,2025-03-12,2025-03-13,,,,,,Build/allocation backlog,build-allocation-backlog,Operations / Manufacturing,High,Check if an allocated unit can be reassigned from lower priority stock,YES,3650,19,2,4,0,0,0
EVX-1024,Southland Eco Parks,NZ,Invercargill,Liam Gray,Harper Young,Wallbox Pro 7kW,3350,ACCEPTED,2025-02-12,2025-02-14,2025-02-15,2025-02-16,2025-02-18,2025-02-19,2025-02-22,2025-02-27,2025-03-04,2025-03-06,,Failed install,failed-install,Technical Support,Critical,Review installer notes and rebook with a specialist technician,YES,3350,31,2,3,16,0,0
EVX-1025,Hawkes Bay Lifestyle Ltd,NZ,Hastings,Isla Morgan,Harper Young,Wallbox Lite 7kW,2450,ACCEPTED,2025-03-02,2025-03-04,2025-03-05,2025-03-06,2025-03-08,2025-03-09,2025-03-12,2025-03-15,2025-03-21,2025-03-22,,Failed install,failed-install,Technical Support,High,Confirm replacement parts and schedule the return visit,YES,2450,15,2,3,14,0,0
EVX-1026,Aoraki Property Group,NZ,Timaru,Ava Chen,,Wallbox Pro 7kW,3180,ACCEPTED,2025-03-08,2025-03-10,2025-03-11,2025-03-12,2025-03-15,,,,,,,,Paid order missing,paid-order-missing,ERP Operations,High,Create ERP order release record and notify operations,YES,3180,16,2,4,0,0,0
EVX-1027,Bayside Apartments NZ,NZ,Auckland,Noah Patel,,Wallbox Pro 11kW,4020,ACCEPTED,2025-03-11,2025-03-14,2025-03-16,,,,,,,,,,Accepted quote invoice missing,accepted-quote-invoice-missing,Sales,Medium,Issue invoice and confirm finance handoff,YES,4020,14,3,0,0,0,0
EVX-1028,Remuera Early Access,NZ,Auckland,Ava Chen,Harper Young,Wallbox Pro 11kW,4200,ACCEPTED,2025-01-18,2025-01-20,2025-01-22,2025-01-23,2025-01-25,2025-01-27,2025-01-30,2025-02-02,2025-02-08,2025-02-10,2025-02-12,Active / working,active-working,Support / Device Ops,Low,No action required,NO,0,0,2,3,14,2,25
EVX-1029,West Auckland Estates,NZ,Auckland,Liam Gray,Reuben Clark,Wallbox Lite 7kW,2550,ACCEPTED,2025-02-04,2025-02-06,2025-02-08,2025-02-09,2025-02-11,2025-02-12,2025-02-15,2025-02-20,2025-02-24,2025-02-25,2025-02-27,Active / working,active-working,Support / Device Ops,Low,No action required,NO,0,0,2,3,13,2,23
EVX-1030,Selwyn Smart Living,NZ,Rolleston,Isla Morgan,Ella Scott,Wallbox Pro 7kW,3050,ACCEPTED,2025-02-09,2025-02-11,2025-02-13,2025-02-14,2025-02-16,2025-02-17,2025-02-21,2025-02-26,2025-03-01,2025-03-02,2025-03-04,Active / working,active-working,Support / Device Ops,Low,No action required,NO,0,0,2,3,13,2,24
EVX-1031,Nelson Compact Homes,NZ,Nelson,Ava Chen,Mia Hall,Wallbox Lite 7kW,2480,ACCEPTED,2025-02-16,2025-02-18,2025-02-20,2025-02-21,2025-02-23,2025-02-24,2025-02-27,2025-03-02,2025-03-05,2025-03-06,2025-03-08,Active / working,active-working,Support / Device Ops,Low,No action required,NO,0,0,2,3,10,2,21
EVX-1032,Wanaka Lakeside Charge,NZ,Wanaka,Noah Patel,Tama Wells,Wallbox Pro 11kW,3990,ACCEPTED,2025-02-20,2025-02-23,2025-02-25,2025-02-26,2025-03-01,2025-03-02,2025-03-06,2025-03-11,2025-03-16,2025-03-18,2025-03-19,Active / working,active-working,Support / Device Ops,Low,No action required,NO,0,0,3,4,15,1,27
EVX-1033,Hobsonville Launch Pads,NZ,Auckland,Liam Gray,Sophie James,Wallbox Pro 7kW,3220,ACCEPTED,2025-03-03,2025-03-05,2025-03-07,2025-03-08,2025-03-10,2025-03-11,2025-03-15,2025-03-19,2025-03-24,2025-03-26,2025-03-28,Active / working,active-working,Support / Device Ops,Low,No action required,NO,0,0,2,3,16,2,25
EVX-1034,Christchurch Townhouses,NZ,Christchurch,Isla Morgan,Luca Reid,Wallbox Pro 7kW,3150,ACCEPTED,2025-02-27,2025-03-01,2025-03-03,2025-03-04,2025-03-06,2025-03-07,2025-03-11,2025-03-15,2025-03-20,2025-03-22,2025-03-23,Active / working,active-working,Support / Device Ops,Low,No action required,NO,0,0,2,3,16,1,24
EVX-1035,Palmerston North Charge Hub,NZ,Palmerston North,Ava Chen,Harper Young,Dual Port Fleet 22kW,5850,ACCEPTED,2025-02-10,2025-02-12,2025-02-14,2025-02-15,2025-02-18,2025-02-19,2025-02-23,2025-02-27,2025-03-03,2025-03-05,2025-03-07,Active / working,active-working,Support / Device Ops,Low,No action required,NO,0,0,2,4,15,2,25
EVX-1036,North Shore Prospect,NZ,Auckland,Ava Chen,,Wallbox Pro 7kW,2990,PENDING,2025-03-17,2025-03-20,,,,,,,,,,,Quote sent awaiting decision,quote-sent-awaiting-decision,Sales,Low,Follow up decision date with the customer,YES,0,11,3,0,0,0,0
EVX-1037,Waipukurau Rural Homes,NZ,Waipukurau,Noah Patel,,Wallbox Lite 7kW,2380,CLOSED_LOST,2025-02-03,2025-02-06,,,,,,,,,,,Closed lost/expired,closed-lost-expired,Sales,Low,No action required,NO,0,0,3,0,0,0,0
